customer_name,segment,markets,countries,sales,profit,quantity,rows,orders,avg_discount,profit_margin
Tamara Chand,Corporate,6,25,37453,8672.8989,271,88,36,0.18468181818181817,0.23156753531092303
Raymond Buch,Consumer,6,15,29601,8453.0495,262,71,29,0.0847887323943662,0.28556634910982737
Sanjit Chand,Consumer,6,19,26524,8205.3799,244,69,35,0.1498550724637681,0.3093568051575931
Hunter Lopez,Consumer,6,18,30246,7816.567779999999,207,53,24,0.11777358490566038,0.2584331078489717
Bill Eplett,Home Office,6,25,28480,7410.0053,411,102,42,0.08354901960784314,0.2601827703651685
Harry Marie,Corporate,6,21,28477,6958.2864,313,85,41,0.1591764705882353,0.24434759279418478
Susan Pistek,Consumer,6,18,29020,6484.40726,235,68,32,0.13826470588235296,0.22344614955203307
Mike Gockenbach,Consumer,6,20,23378,6458.6762,185,51,27,0.19941176470588234,0.2762715458978527
Adrian Barton,Consumer,7,20,25125,6417.2845,265,77,40,0.2090909090909091,0.25541430845771146
Tom Ashbrook,Home Office,6,18,40489,6311.9791,284,80,30,0.090125,0.15589367729506778
Jane Waco,Corporate,6,23,30288,6265.8457,298,75,40,0.11493333333333335,0.20687551835710513
Daniel Raglin,Home Office,6,26,27932,6103.97292,289,85,41,0.15995294117647058,0.2185297479593298
Sanjit Engle,Consumer,6,20,30143,6015.78392,299,82,39,0.06224390243902439,0.19957482400557341
Bill Shonely,Corporate,6,22,23511,5968.90736,254,68,31,0.053794117647058826,0.2538772217260006
Ellis Ballard,Corporate,7,17,21986,5848.74774,174,57,31,0.09112280701754386,0.26602145638133357
Nathan Mautz,Home Office,7,24,24278,5789.1168,253,75,41,0.062000000000000006,0.2384511409506549
Christopher Conant,Consumer,6,24,35187,5603.3337,287,73,39,0.12904109589041096,0.15924442834001193
Keith Dawkins,Corporate,6,17,26451,5486.1725,253,78,40,0.08602564102564103,0.2074088881327738
John Huston,Consumer,6,24,25947,5395.8237,289,83,38,0.11349397590361446,0.20795559024164642
Greg Tran,Consumer,6,18,35552,5214.13118,310,87,34,0.14144827586206898,0.1466621056480648
